frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
51,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
52,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
53,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
54,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
55,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
56,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
57,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
58,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
59,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
60,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
61,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667
62,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667
63,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667
64,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667
65,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
66,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
67,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
68,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
69,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
70,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
71,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
72,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
73,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
74,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
75,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
76,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
77,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
78,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
79,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
80,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
81,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
82,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
83,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
84,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
85,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
86,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
87,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
88,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
89,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
90,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
91,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
92,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
93,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
94,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
95,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
96,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
