frame,gt_id,pred_id,iou
0,1,3,0.845771144278607
0,2,1,0.929156626506024
0,3,2,0.8502838001302689
0,6,4,0.52902767920511
0,7,7,0.8406285072951739
0,8,10,0.8786144136210187
0,10,8,0.7246845681009382
0,11,12,0.781673833939795
0,12,9,0.43319523562920764
0,13,11,0.7390712074303406
0,14,14,0.8260206028233499
0,15,16,0.8578271028037383
0,16,15,0.7760690678537704
0,18,5,0.7710402509147936
0,19,6,0.8177583697234352
0,5,,0.0
0,20,,0.0
0,21,,0.0
0,,13,0.0
10,1,3,0.8562067260138477
10,2,1,0.8362699639361154
10,3,2,0.8860610451951816
10,6,4,0.566406749328902
10,7,7,0.8215914105015444
10,8,10,0.8245208195637805
10,10,8,0.9023953436310723
10,11,12,0.8665568369028006
10,12,9,0.5298920968212307
10,13,11,0.5319114817190507
10,14,14,0.9183824893340753
10,15,16,0.8242733525626803
10,16,15,0.8521269412559082
10,18,5,0.7600638977635783
10,5,,0.0
10,19,,0.0
10,20,,0.0
10,21,,0.0
10,,13,0.0
20,1,3,0.8362565926652766
20,2,1,0.833366976180864
20,3,2,0.8467628865979382
20,5,17,0.7538779731127198
20,6,4,0.8294965375257346
20,7,7,0.8603009721667333
20,8,10,0.7634728682170543
20,10,8,0.8761638733705773
20,11,12,0.8786985363799095
20,12,9,0.658872434398545
20,13,11,0.46345570899292693
20,14,14,0.8818803418803419
20,15,16,0.9095840867992767
20,16,15,0.8898839137645108
20,18,5,0.5243079000675219
20,20,18,0.6382367843269718
20,19,,0.0
20,21,,0.0
20,23,,0.0
20,,13,0.0
20,,19,0.0
30,1,3,0.9183922046285018
30,2,1,0.8933145213805079
30,3,2,0.8239385065885798
30,5,17,0.6927424824779561
30,6,4,0.7718782428225528
30,7,7,0.8967081389320891
30,8,10,0.8330218068535825
30,10,8,0.8135245901639344
30,11,12,0.8748663101604278
30,12,9,0.48737046632124353
30,13,11,0.2333984375
30,14,14,0.8204318936877076
30,15,16,0.8930176077717061
30,16,15,0.5978221935668744
30,18,5,0.6961378265808406
30,20,18,0.763669640814459
30,21,19,0.5558398555087297
30,,13,0.0
30,,20,0.0
35,7,,0.0
35,,1,0.0
35,,2,0.0
35,,3,0.0
35,,4,0.0
35,,5,0.0
35,,7,0.0
35,,8,0.0
35,,9,0.0
35,,10,0.0
35,,11,0.0
35,,12,0.0
35,,13,0.0
35,,14,0.0
35,,15,0.0
35,,16,0.0
35,,17,0.0
35,,18,0.0
35,,19,0.0
35,,20,0.0
35,,21,0.0
40,1,3,0.8644163468051479
40,3,2,0.7726144629867351
40,6,4,0.5102586975914363
40,7,7,0.7271258331650172
40,8,21,0.7454954954954955
40,9,10,0.6065533683824429
40,10,8,0.8388501742160279
40,11,12,0.8767217630853994
40,12,9,0.39498607242339834
40,14,14,0.8052214725726019
40,15,16,0.8898296439865347
40,16,19,0.7032646048109966
40,17,15,0.8570632488158262
40,18,5,0.8662448662448663
40,20,18,0.6099489175383118
40,2,,0.0
40,5,,0.0
40,13,,0.0
40,21,,0.0
40,,11,0.0
40,,13,0.0
40,,20,0.0
50,1,3,0.8533619456366237
50,2,1,0.8313253012048193
50,3,2,0.7312639821029083
50,5,17,0.8549454480414953
50,6,4,0.7531490881744689
50,7,7,0.9006285218899003
50,8,21,0.8560009688748941
50,9,10,0.8530771101921674
50,10,8,0.8631123919308358
50,11,12,0.8743608473338204
50,12,9,0.6834351419331657
50,14,14,0.806872852233677
50,15,16,0.8287130944331755
50,16,19,0.8816342880032045
50,17,15,0.602827177382581
50,18,5,0.7817553776102999
50,20,18,0.627746235497408
50,21,22,0.3101472075514103
50,4,,0.0
50,13,,0.0
50,,11,0.0
50,,13,0.0
50,,20,0.0
60,1,3,0.9132290184921764
60,2,1,0.4440537745604964
60,3,2,0.7851887783976069
60,4,23,0.6516823321073423
60,5,17,0.8175169135125251
60,6,4,0.8778097982708933
60,7,7,0.8424109589041096
60,8,21,0.5594584359022913
60,9,10,0.8391136801541426
60,10,13,0.23452611218568664
60,11,12,0.9076923076923077
60,12,9,0.8861568247821878
60,14,14,0.9076965215009586
60,15,16,0.8858839050131926
60,16,19,0.8275813094730862
60,17,15,0.7789790854306984
60,18,5,0.6122448979591837
60,20,18,0.6358465011286681
60,21,22,0.6779812416257258
60,13,,0.0
60,,8,0.0
60,,20,0.0
70,1,3,0.8601222974448569
70,2,1,0.8687586685159501
70,3,2,0.8834450747808148
70,4,23,0.8823262153566561
70,5,17,0.6836395837945539
70,6,4,0.8183426316505648
70,7,7,0.8190974239783072
70,8,21,0.8667657716250116
70,9,10,0.8363061353573688
70,10,13,0.1787669602475601
70,11,12,0.8517520215633423
70,12,9,0.7798057602143336
70,14,14,0.8007662835249042
70,15,16,0.791156462585034
70,16,19,0.8770338372930165
70,17,15,0.9077785564120533
70,18,5,0.7285053929121725
70,20,18,0.6201550387596899
70,13,,0.0
70,21,,0.0
70,22,,0.0
70,,22,0.0
80,1,3,0.8657055396464896
80,2,1,0.8955174137643725
80,3,2,0.8472135253600501
80,4,23,0.8720764403879064
80,5,17,0.08108108108108109
80,6,4,0.8333333333333334
80,7,7,0.8089237375151684
80,8,21,0.8490119912176997
80,9,10,0.8549417131272175
80,10,13,0.13706563706563707
80,11,12,0.8784495470823678
80,12,9,0.5161173487866715
80,14,14,0.8984627831715211
80,16,19,0.877208480565371
80,17,15,0.8388312912346843
80,18,5,0.4501398790722859
80,19,8,0.45224635525141327
80,20,18,0.3940975517175935
80,21,,0.0
80,22,,0.0
80,,16,0.0
90,1,3,0.9135962877030163
90,2,1,0.8119362597714973
90,3,2,0.911947653283787
90,4,23,0.8393092105263158
90,5,17,0.8918704350587489
90,6,4,0.9033979950527276
90,7,7,0.9062893081761006
90,8,21,0.8504114894303695
90,9,10,0.8386175960852279
90,10,13,0.11367380560131796
90,11,12,0.8926759214935376
90,14,14,0.8839512136215433
90,16,19,0.9214718736782743
90,17,15,0.8684804246848042
90,18,5,0.7418816388467375
90,20,18,0.17118765412457243
90,12,,0.0
90,21,,0.0
90,22,,0.0
90,,9,0.0
90,,16,0.0
