frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
1,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
2,1,3,2,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0
3,1,3,2,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0
4,1,3,2,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0,1,2,0,0.333,1.0,0.5,0,1.0,1.0
5,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
6,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
7,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
8,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
9,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
10,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
11,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
12,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
13,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
14,1,2,1,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0,1,1,0,0.5,1.0,0.667,0,1.0,1.0
