frame,gt_id,pred_id,iou
0,1,1,0.8560663149962321
0,2,3,0.7839096936032969
0,3,4,0.8755129958960328
0,5,5,0.8859444562221751
0,6,2,0.8977960020502307
0,7,6,0.8911543923716778
0,8,7,0.8825490447493268
0,4,,0.0
0,9,,0.0
10,1,1,0.9089430894308943
10,2,3,0.8126064735945485
10,3,4,0.8697042366107114
10,5,5,0.9154257350133639
10,6,2,0.8743127962085308
10,7,6,0.8999029126213592
10,8,7,0.8885521885521885
10,9,,0.0
20,1,1,0.7254599749542433
20,3,4,0.8627671541057368
20,5,5,0.9152620429216174
20,6,2,0.8715719063545151
20,7,6,0.9125558493662806
20,8,7,0.908189880020866
20,9,,0.0
20,,3,0.0
30,1,1,0.8646590110147645
30,3,4,0.8388671875
30,5,5,0.9038854805725971
30,6,2,0.8009259259259259
30,7,6,0.8076433121019109
30,8,7,0.8857000993048659
30,9,,0.0
30,,9,0.0
40,1,1,0.856508875739645
40,3,4,0.7909090909090909
40,5,5,0.6809248554913295
40,6,2,0.8578465869106263
40,7,6,0.7471804511278195
40,8,7,0.8915918037751085
40,9,,0.0
40,,9,0.0
50,1,1,0.8400783289817232
50,3,4,0.8423475258918297
50,5,5,0.9293870466794556
50,6,2,0.9196005764875438
50,7,6,0.7063492063492064
50,8,7,0.8689227836034319
50,10,9,0.8070333633904418
50,9,,0.0
50,,10,0.0
50,,11,0.0
60,1,11,0.8942400774443369
60,3,4,0.6505263157894737
60,5,5,0.9162049861495845
60,6,2,0.8825844539193178
60,7,6,0.7820754716981132
60,8,7,0.7746158224245874
60,10,9,0.7932816537467701
60,9,,0.0
60,,10,0.0
70,1,11,0.8923364854215918
70,5,5,0.9149624007309016
70,6,2,0.9185834850239947
70,7,6,0.7713004484304933
70,10,9,0.7202072538860104
70,3,,0.0
70,9,,0.0
70,,4,0.0
70,,10,0.0
80,1,11,0.8705203482486333
80,5,5,0.9300931656785458
80,6,2,0.9222143809299772
80,7,6,0.6231633535004322
80,10,9,0.7185398655139289
80,3,,0.0
80,9,,0.0
80,,4,0.0
90,1,11,0.8986626483330195
90,3,4,0.70509977827051
90,5,5,0.9118311981914092
90,6,2,0.9122068550811786
90,7,6,0.6821256038647343
90,10,9,0.6816326530612244
90,9,,0.0
