frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
76,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
77,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
81,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
82,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
84,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
85,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
86,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
87,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
88,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
89,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
92,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
93,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
94,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
96,1,2,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667,1,1,0,0.5,1.0,0.667
