frame,gt_id,pred_id,iou
0,1,2,0.9083503054989817
0,,1,0.0
1,1,2,0.9536338546458142
1,,1,0.0
2,1,2,0.9410865874363328
2,,1,0.0
3,1,2,0.9507983056370153
3,,1,0.0
4,1,2,0.9243174197668849
4,,1,0.0
5,1,2,0.9363725811741554
5,,1,0.0
6,1,2,0.9447443632899333
6,,1,0.0
7,1,2,0.9284692417739628
7,,1,0.0
8,1,2,0.945987391378429
8,,1,0.0
9,1,2,0.933097999663809
9,,1,0.0
10,1,2,0.9339563862928348
10,,1,0.0
11,1,2,0.9498766193707588
11,,1,0.0
12,1,2,0.9562519885459752
12,,1,0.0
13,1,2,0.9109819516671765
13,,1,0.0
14,1,2,0.9325842696629213
14,,1,0.0
15,1,2,0.9454940645377027
15,,1,0.0
16,1,2,0.9514470978965681
16,,1,0.0
17,1,2,0.9352482151751619
17,,1,0.0
18,1,2,0.9428357089272318
18,,1,0.0
19,1,2,0.9505034988905957
19,,1,0.0
20,1,2,0.9410569105691057
20,,1,0.0
21,1,2,0.9345443627083021
21,,1,0.0
22,1,2,0.9444082164982067
22,,1,0.0
23,1,2,0.9509366636931311
23,,1,0.0
24,1,2,0.9311804358049851
24,,1,0.0
25,1,2,0.941793893129771
25,,1,0.0
26,1,2,0.9401225836869401
26,,1,0.0
27,1,2,0.9457603844833505
27,,1,0.0
28,1,2,0.9445196211096076
28,,1,0.0
29,1,2,0.8792724992160552
29,,1,0.0
30,1,2,0.8772644927536232
30,,1,0.0
31,1,2,0.9456778460085026
31,,1,0.0
32,1,2,0.9443940767603506
32,,1,0.0
33,1,2,0.9428663135933237
33,,1,0.0
34,1,2,0.9282393056416615
34,,1,0.0
35,1,2,0.9322964318389753
35,,1,0.0
36,1,2,0.9110932475884245
36,,1,0.0
37,1,2,0.9542395693135935
37,,1,0.0
38,1,2,0.9377364438839849
38,,1,0.0
41,1,2,0.9559090909090909
41,,1,0.0
43,1,2,0.8742060418280403
43,,1,0.0
46,1,2,0.9598523304107061
46,,1,0.0
48,1,2,0.9345723783620429
48,,1,0.0
49,1,2,0.9523346303501945
49,,1,0.0
52,1,2,0.9591836734693877
52,,1,0.0
54,1,2,0.884856434922023
54,,1,0.0
54,,3,0.0
61,1,2,0.9482537648189683
61,,1,0.0
61,,3,0.0
68,1,2,0.9506605124940315
68,,1,0.0
68,,3,0.0
69,1,2,0.9486037347952715
69,,1,0.0
70,1,2,0.9528319757529835
70,,1,0.0
75,1,2,0.945391304347826
75,,1,0.0
76,1,2,0.8930581613508443
76,,1,0.0
77,1,2,0.8844780508296576
77,,1,0.0
81,1,2,0.9318370739817123
81,,1,0.0
82,1,2,0.9086206896551724
82,,1,0.0
84,1,2,0.9330889092575618
84,,1,0.0
85,1,2,0.9350180505415162
85,,1,0.0
86,1,2,0.92
86,,1,0.0
87,1,2,0.8770764119601329
87,,1,0.0
88,1,2,0.8956999085086916
88,,1,0.0
89,1,2,0.8871119473189087
89,,1,0.0
92,1,2,0.9351935193519352
92,,1,0.0
93,1,2,0.9423459244532804
93,,1,0.0
94,1,2,0.9815891472868217
94,,1,0.0
96,1,2,0.8686868686868687
96,,1,0.0
