frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,6,4,0,4,0,2,1.0,0.667,0.8,0,1.0,0.8,3,1,3,0.75,0.5,0.6,1,0.75,0.6,3,1,3,0.75,0.5,0.6,1,0.75,0.6
10,5,4,0,2,2,3,0.5,0.4,0.444,2,0.5,0.444,2,2,3,0.5,0.4,0.444,2,0.5,0.444,2,2,3,0.5,0.4,0.444,2,0.5,0.444
20,4,4,1,3,1,1,0.75,0.75,0.75,0,1.0,0.857,2,2,2,0.5,0.5,0.5,1,0.667,0.571,2,2,2,0.5,0.5,0.5,1,0.667,0.571
30,4,4,1,3,1,1,0.75,0.75,0.75,0,1.0,0.857,2,2,2,0.5,0.5,0.5,1,0.667,0.571,2,2,2,0.5,0.5,0.5,1,0.667,0.571
40,6,5,0,3,2,3,0.6,0.5,0.545,2,0.6,0.545,2,3,4,0.4,0.333,0.364,3,0.4,0.364,2,3,4,0.4,0.333,0.364,3,0.4,0.364
50,7,7,0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,6,1,1,0.857,0.857,0.857,1,0.857,0.857,4,3,3,0.571,0.571,0.571,3,0.571,0.571
60,7,6,1,5,1,2,0.833,0.714,0.769,0,1.0,0.833,4,2,3,0.667,0.571,0.615,1,0.8,0.667,3,3,4,0.5,0.429,0.462,2,0.6,0.5
70,8,8,0,7,1,1,0.875,0.875,0.875,1,0.875,0.875,7,1,1,0.875,0.875,0.875,1,0.875,0.875,7,1,1,0.875,0.875,0.875,1,0.875,0.875
80,8,8,0,7,1,1,0.875,0.875,0.875,1,0.875,0.875,7,1,1,0.875,0.875,0.875,1,0.875,0.875,6,2,2,0.75,0.75,0.75,2,0.75,0.75
90,8,7,0,7,0,1,1.0,0.875,0.933,0,1.0,0.933,5,2,3,0.714,0.625,0.667,2,0.714,0.667,3,4,5,0.429,0.375,0.4,4,0.429,0.4
