frame,gt_id,pred_id,iou
0,1,2,0.890577943496343
0,3,3,0.9244741873804971
0,5,1,0.7516438098816457
0,4,,0.0
10,1,2,0.8296624527564186
10,3,3,0.9126629755313449
10,5,1,0.3799261992619926
10,,4,0.0
20,1,2,0.9117818436079711
20,5,1,0.8230012825994014
20,4,,0.0
20,,3,0.0
20,,4,0.0
30,1,2,0.8931910680893191
30,5,1,0.6676544335536814
30,4,,0.0
30,,3,0.0
30,,4,0.0
40,1,2,0.9020408163265307
40,3,3,0.8256721595836947
40,,1,0.0
40,,4,0.0
50,1,2,0.8998997744926084
50,3,3,0.748159628051143
50,5,1,0.855787476280835
50,4,,0.0
50,,4,0.0
60,1,2,0.7559645535105658
60,3,3,0.9003730827691032
60,4,5,0.572105742935278
60,5,1,0.29995902199153124
70,1,2,0.8509606751660981
70,2,6,0.8357565966612817
70,3,3,0.92
70,5,1,0.43084033613445377
70,,5,0.0
80,1,2,0.9198606271777003
80,2,6,0.8468906796411738
80,3,3,0.8885717683434415
80,4,5,0.7734251686038169
80,5,1,0.6491881566380133
90,1,2,0.8915993537964458
90,2,6,0.9271467207572684
90,3,3,0.8653375963889411
90,4,5,0.5170704845814978
90,5,1,0.6593841742336315
